country_name,birth_rate,death_rate,natural_increase,continents,Rough
Afghanistan,37.5,13.2,24.3,Asia,
Albania,13.2,6.9,6.3,Europe,
Algeria,21.5,4.3,17.2,Africa,
American Samoa,19,5.9,13.1,Oceania,
Andorra,7.3,7.4,-0.1,Europe,
Angola,43.7,9,34.7,Africa,
Anguilla,12.4,4.7,7.7,North America,
Antigua and Barbuda,15.6,5.8,9.8,North America,
Argentina,16.5,7.5,9,South America,
Armenia,12.6,9.5,3.1,Asia,
Aruba,12.3,8.5,3.8,South America,
Australia,12,7.3,4.7,Oceania,
Austria,9.5,9.7,-0.2,Europe,
Azerbaijan,15.3,7,8.3,Europe/Asia,
Bahamas,15.1,7.3,7.8,North America,
Bahrain,13.1,2.8,10.3,Asia,
Bangladesh,18.6,5.4,13.2,Asia,
Barbados,11.6,8.6,3,North America,
Belarus,10,13.2,-3.2,Europe,
Belgium,11.3,9.7,1.6,Europe,
Belize,22.9,4.2,18.7,North America,
Benin,34.5,7.7,26.8,Africa,
Bermuda,11.3,8.7,2.6,North America,
Bhutan,17,6.4,10.6,Asia,
Bolivia,21.6,6.3,15.3,South America,
Bosnia and Herzegovina,8.7,10.1,-1.4,Europe,
Botswana,21.7,9.5,12.2,Africa,
Brazil,13.9,6.7,7.2,South America,
British Virgin Islands,11.1,5.2,5.9,North America,
Brunei,16.9,3.7,13.2,Asia,
Bulgaria,8.5,14.5,-6,Europe,
Burkina Faso,36.9,8.7,28.2,Africa,
Burma,17.7,7.3,10.4,Asia,
Burundi,40.9,8.6,32.3,Africa,
Cabo Verde,19.7,6,13.7,Africa,
Cambodia,22.5,7.4,15.1,Asia,
Cameroon,35,9.4,25.6,Africa,
Canada,10.2,8.8,1.4,North America,
Cayman Islands,12,5.9,6.1,North America,
Central Africa,34,12.9,21.1,Africa,
Chad,43,10.5,32.5,Africa,
Chile,13.4,6.3,7.1,South America,
China,12.1,8,4.1,Asia,
Colombia,15.8,5.5,10.3,South America,
Comoros,25.3,7.1,18.2,Africa,
Congo Democratic,33.7,9.2,24.5,Africa,
Congo Republic,32.8,9.4,23.4,Africa,
Cook Island,13.7,8.6,5.1,Oceania,
Costa Rica,15.3,4.8,10.5,North America,
Cote d'Ivoir,30.1,8.4,21.7,Africa,
Croatia,8.8,12.4,-3.6,Europe,
Cuba,10.6,8.9,1.7,North America,
Curacao,13.7,8.5,5.2,South America,
Cyprus,11.2,6.8,4.4,Europe,
Czechia,9.2,10.5,-1.3,Europe,
Denmark,10.9,9.3,1.6,Europe,
Djibouti,23.3,7.5,15.8,Africa,
Dominica,15,7.9,7.1,North America,
Dominican Republic,18.9,6.4,12.5,North America,
Ecuador,17.6,5.1,12.5,South America,
Egypt,28.8,4.5,24.3,Africa/Asia,
El Salvador,16.1,5.8,10.3,North America,
Equatorial Guinea,31.7,7.6,24.1,Africa,
Eritrea,29.1,7.1,22,Africa,
Estonia,9.9,12.7,-2.8,Europe,
Eswatini,25.8,10.7,15.1,Africa,
Ethiopia,36,7.5,28.5,Africa,
Falkland Islands,10.9,4.9,6,South America,
Faroe Islands,14.5,8.8,5.7,Europe,
Fiji,18.2,6.2,12,Oceania,
Finland,10.7,10.1,0.6,Europe,
France,12.1,9.4,2.7,Europe,
French Polynesia,14.5,5.3,9.2,Oceania,
Gabon,26.5,6.2,20.3,Africa,
Gambia,28.6,6.9,21.7,Africa,
Gaza,30.5,3,27.5,Asia,
Georgia,12.1,10.9,1.2,Europe,
Germany,8.6,11.8,-3.2,Europe,
Ghana,30.2,6.8,23.4,Africa,
Gibraltar,13.9,8.5,5.4,Europe,
Greece,8.3,11.4,-3.1,Europe,
Greenland,14.3,8.8,5.5,North America,
Grenada,15.2,8.2,7,North America,
Guam,19.4,6,13.4,Oceania,
Guatemala,24.6,5,19.6,North America,
Guernsey,9.8,9,-0.8,Europe,
Guinea,36.4,8.9,27.5,Africa,
Guinea Bissau,37.3,8.5,28.8,Africa,
Guyana,15.4,7.4,8,South America,
Haiti,22.6,7.5,15.1,North America,
Honduras,22,5.3,16.7,North America,
Hong Kong,8.8,7.6,1.2,Asia,
Hungary,8.9,12.8,-3.9,Europe,
Iceland,13.6,6.5,7.1,Europe,
India,18.7,7.3,11.4,Asia,
Indonesia,15.9,6.5,9.4,Asia,
Iran,17.4,5.3,12.1,Asia,
Iraq,30,3.8,26.2,Asia,
Ireland,13.8,6.6,7.2,Europe,
Isle of Man,10.9,10.2,-0.7,Europe,
Israel,17.9,5.2,12.7,Asia,
Italy,8.5,10.5,-2,Europe,
Jamaica,16.5,7.6,8.9,North America,
Japan,7.5,9.9,-2.4,Asia,
Jersey,12.5,7.8,4.7,Europe,
Jordan,23.6,3.4,20.2,Asia,
Kazakhstan,17.5,8.2,9.3,Europe/Asia,
Kenya,22.6,6.7,15.9,Africa,
Kiribati,21,7,14,Oceania,
Korea North,14.6,9.3,5.3,Asia,
Korea South,8.3,6.3,2,Asia,
Kuwait,18.8,2.3,16.5,Asia,
Kyrgyzstan,21.6,6.4,15.2,Asia,
Laos,23.2,7.3,15.9,Asia,
Latvia,9.6,14.5,-4.9,Europe,
Lebanon,14.1,5.1,9,Asia,
